entity_id,state,last_changed
sensor.v1_sk_a_co2_avg_5m,837.75,2026-09-17T09:10:00.405Z
sensor.v1_sk_a_co2_avg_5m,803.667,2026-09-17T09:15:00.404Z
sensor.v1_sk_a_co2_avg_5m,562.5,2026-09-17T09:20:00.413Z
sensor.v1_sk_a_co2_avg_5m,505.75,2026-09-17T09:25:00.405Z
sensor.v1_sk_a_co2_avg_5m,554.499,2026-09-17T09:30:00.411Z
sensor.v1_sk_a_co2_avg_5m,588.5,2026-09-17T09:35:00.407Z
sensor.v1_sk_a_co2_avg_5m,596.875,2026-09-17T09:40:00.405Z
sensor.v1_sk_a_co2_avg_5m,579.861,2026-09-17T09:45:00.404Z
sensor.v1_sk_a_co2_avg_5m,567.125,2026-09-17T09:50:00.407Z
sensor.v1_sk_a_co2_avg_5m,568.875,2026-09-17T09:55:00.406Z
sensor.v1_sk_a_co2_avg_5m,549.749,2026-09-17T10:00:00.408Z
sensor.v1_sk_a_co2_avg_5m,508.125,2026-09-17T10:05:00.405Z
sensor.v1_sk_a_co2_avg_5m,484.833,2026-09-17T10:10:00.407Z
sensor.v1_sk_a_co2_avg_5m,488.502,2026-09-17T10:15:00.405Z
sensor.v1_sk_a_co2_avg_5m,499.25,2026-09-17T10:20:00.404Z
sensor.v1_sk_a_co2_avg_5m,493.375,2026-09-17T10:25:00.406Z
sensor.v1_sk_a_co2_avg_5m,487.333,2026-09-17T10:30:00.409Z
sensor.v1_sk_a_co2_avg_5m,459.5,2026-09-17T10:35:00.404Z
sensor.v1_sk_a_co2_avg_5m,448.375,2026-09-17T10:40:00.405Z
sensor.v1_sk_a_co2_avg_5m,443.167,2026-09-17T10:45:00.406Z
sensor.v1_sk_a_co2_avg_5m,440.0,2026-09-17T10:50:00.406Z
sensor.v1_sk_a_co2_avg_5m,440.875,2026-09-17T10:55:00.405Z
sensor.v1_sk_a_co2_avg_5m,435.0,2026-09-17T11:00:00.405Z
sensor.v1_sk_a_co2_avg_5m,431.667,2026-09-17T11:05:00.404Z
sensor.v1_sk_a_co2_avg_5m,428.75,2026-09-17T11:10:00.404Z
sensor.v1_sk_a_co2_avg_5m,421.75,2026-09-17T11:15:00.404Z
sensor.v1_sk_a_co2_avg_5m,420.625,2026-09-17T11:20:00.405Z
sensor.v1_sk_a_co2_avg_5m,419.875,2026-09-17T11:25:00.404Z
sensor.v1_sk_a_co2_avg_5m,418.875,2026-09-17T11:30:00.413Z
sensor.v1_sk_a_co2_avg_5m,414.833,2026-09-17T11:35:00.405Z
sensor.v1_sk_a_co2_avg_5m,413.5,2026-09-17T11:40:00.405Z
sensor.v1_sk_a_co2_avg_5m,411.5,2026-09-17T11:45:00.405Z
sensor.v1_sk_a_co2_avg_5m,414.625,2026-09-17T11:50:00.406Z
sensor.v1_sk_a_co2_avg_5m,418.75,2026-09-17T11:55:00.405Z
sensor.v1_sk_a_co2_avg_5m,414.0,2026-09-17T12:00:00.407Z
sensor.v1_sk_a_co2_avg_5m,418.0,2026-09-17T12:05:00.404Z
sensor.v1_sk_a_co2_avg_5m,415.0,2026-09-17T12:10:00.407Z
sensor.v1_sk_a_co2_avg_5m,409.375,2026-09-17T12:15:00.404Z
sensor.v1_sk_a_co2_avg_5m,406.0,2026-09-17T12:20:00.405Z
sensor.v1_sk_a_co2_avg_5m,401.0,2026-09-17T12:25:00.419Z
sensor.v1_sk_a_co2_avg_5m,397.25,2026-09-17T12:30:00.423Z
sensor.v1_sk_a_co2_avg_5m,395.5,2026-09-17T12:35:00.406Z
sensor.v1_sk_a_co2_avg_5m,393.833,2026-09-17T12:40:00.405Z
sensor.v1_sk_a_co2_avg_5m,395.625,2026-09-17T12:45:00.405Z
sensor.v1_sk_a_co2_avg_5m,406.499,2026-09-17T12:50:00.405Z
sensor.v1_sk_a_co2_avg_5m,402.5,2026-09-17T12:55:00.405Z
